,Team,CONF,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,Year,WIN_RATE
1691,southern,SWAC,97.2,99.4,0.4343,49.3,42.8,20.5,18.3,32.0,30.1,39.3,53.7,48.2,41.4,34.6,30.5,67.6,-7.3,2014,0.5517241379310345
1695,st. bonaventure,A10,111.6,101.6,0.7462,49.6,50.7,18.7,21.5,36.5,31.7,41.1,45.0,49.9,49.4,32.6,35.5,67.4,-4.6,2014,0.5454545454545454
1698,st. john's (ny),BE,107.7,95.1,0.8084,48.7,46.5,15.6,19.2,31.1,30.8,37.1,38.1,47.6,44.0,34.9,34.5,68.1,-0.2,2014,0.6060606060606061
1700,stony brook,AE,104.2,104.7,0.4858,50.0,48.1,18.7,19.0,34.0,26.9,38.4,42.1,48.8,47.3,35.4,32.9,66.1,-5.2,2014,0.6666666666666666
1701,tcu,B12,99.5,102.7,0.4104,44.6,50.3,17.6,18.9,24.6,39.0,44.8,35.4,43.3,49.8,31.9,34.3,65.9,-8.8,2014,0.26666666666666666
1702,temple,Amer,109.7,108.6,0.53,48.0,52.6,15.1,15.9,32.3,33.9,31.7,37.2,46.8,52.1,33.8,35.9,68.2,-10.5,2014,0.2903225806451613
1706,texas a&m,SEC,101.1,94.7,0.6794,47.9,45.3,17.4,20.3,27.2,31.4,38.8,39.8,48.1,46.5,31.7,28.8,63.8,-4.9,2014,0.5294117647058824
1709,texas tech,B12,110.0,101.6,0.7126,49.7,49.9,18.8,17.9,37.6,32.9,38.7,42.0,50.7,50.0,31.1,33.0,62.5,-3.8,2014,0.4375
1713,troy,SB,101.4,108.4,0.3167,47.5,50.5,18.8,17.9,32.8,32.3,43.9,30.6,45.4,51.4,33.9,32.5,65.1,-14.2,2014,0.3103448275862069
1715,alabama-birmingham,CUSA,103.5,102.7,0.5243,45.3,46.7,18.5,15.3,39.8,29.7,41.6,30.9,45.5,46.2,30.0,31.9,68.6,-6.6,2014,0.5517241379310345
1716,uc-davis,BW,101.9,115.6,0.1899,49.9,55.8,17.3,18.3,23.9,35.6,37.2,38.8,48.3,54.4,34.9,39.2,67.0,-16.4,2014,0.2413793103448276
1717,uc-irvine,BW,102.1,95.5,0.6831,51.4,42.3,19.4,14.9,32.0,29.5,36.3,39.3,50.7,39.2,35.5,33.2,64.8,-4.3,2014,0.6363636363636364
1720,ucf,Amer,106.7,105.9,0.5216,49.0,51.9,20.0,17.2,38.1,33.1,38.2,36.6,49.1,51.0,32.6,36.0,67.9,-7.7,2014,0.3793103448275862
1722,umbc,AE,90.9,109.8,0.1026,45.4,51.3,21.3,21.7,29.1,31.3,40.2,57.4,44.7,49.5,31.1,36.3,68.6,-15.2,2014,0.2857142857142857
1724,unc asheville,BSth,106.8,110.8,0.3939,51.4,51.2,19.3,16.8,33.6,34.2,43.4,41.3,48.7,49.2,38.1,36.9,70.3,-9.8,2014,0.4827586206896552
1725,unc greensboro,SC,94.3,109.3,0.1549,47.3,50.5,19.6,17.2,28.6,28.5,37.8,47.5,46.1,50.5,33.6,33.7,70.5,-13.2,2014,0.3793103448275862
1726,unc wilmington,CAA,95.7,103.8,0.2809,44.0,50.4,17.6,17.3,31.4,34.2,32.3,41.9,44.6,49.7,28.3,34.4,64.4,-15.9,2014,0.23333333333333334
1727,unlv,MWC,107.9,98.1,0.7491,48.9,44.5,16.6,15.3,34.2,31.0,39.5,25.7,48.7,44.2,32.9,30.2,67.2,-3.9,2014,0.6060606060606061
1728,usc,P12,102.8,101.5,0.5373,47.8,48.9,19.6,15.7,30.6,32.2,42.3,38.7,49.7,49.2,28.5,32.1,70.3,-8.7,2014,0.3225806451612903
1732,utah,P12,110.4,96.2,0.8289,53.1,47.3,18.3,18.8,28.2,29.2,39.8,36.2,53.7,46.7,34.5,32.6,65.3,-0.4,2014,0.6129032258064516
1733,utah state,MWC,108.6,104.3,0.6142,51.3,47.6,17.2,12.4,32.3,26.7,33.7,33.6,46.8,48.2,40.9,31.1,63.8,-5.3,2014,0.5483870967741935
1737,valparaiso,Horz,102.5,103.2,0.4797,51.4,46.1,22.6,16.1,32.7,31.1,45.8,43.9,50.7,43.8,35.0,34.1,65.4,-8.6,2014,0.4838709677419355
1738,vanderbilt,SEC,103.6,97.9,0.6572,49.1,45.7,20.6,16.5,29.9,34.6,41.2,35.3,49.8,45.8,31.9,30.4,63.9,-4.6,2014,0.4838709677419355
1739,vermont,AE,107.1,100.3,0.682,52.2,45.5,18.2,20.1,33.1,27.8,46.0,40.2,49.7,44.0,39.0,32.5,64.0,-4.1,2014,0.6451612903225806
1740,virginia tech,ACC,100.0,99.0,0.5296,47.1,47.0,19.7,13.0,31.7,29.5,38.1,33.5,43.1,45.6,36.1,32.6,64.5,-10.1,2014,0.2903225806451613
1744,washington,P12,111.2,104.2,0.6788,49.6,51.8,16.5,16.3,32.2,29.2,37.1,41.4,49.1,53.3,33.9,31.8,68.8,-3.6,2014,0.53125
1746,west virginia,B12,115.2,101.8,0.8058,50.4,50.6,14.2,18.5,32.4,32.5,39.1,41.6,46.9,50.0,38.1,34.5,68.2,-1.8,2014,0.5151515151515151
1749,western kentucky,SB,101.0,101.6,0.4829,47.6,48.5,20.2,18.9,34.3,28.1,41.9,43.1,45.8,46.8,33.5,35.0,66.0,-5.4,2014,0.6129032258064516
1751,winthrop,BSth,103.2,108.9,0.3487,50.9,52.5,18.6,19.9,28.9,30.0,41.0,45.1,46.2,51.5,39.3,36.4,66.2,-8.2,2014,0.5666666666666667
1752,wright state,Horz,99.5,97.3,0.5647,51.2,48.6,20.3,23.6,23.5,29.0,43.0,45.0,49.3,48.2,36.5,33.0,65.2,-8.1,2014,0.5588235294117647
1753,wyoming,MWC,104.9,99.9,0.6368,52.7,46.2,16.9,16.6,18.1,31.6,45.6,32.8,53.0,45.6,34.9,31.6,61.1,-5.7,2014,0.5161290322580645
1754,yale,Ivy,101.5,101.4,0.503,46.2,50.2,19.7,18.6,34.0,25.3,50.5,41.0,45.6,47.9,31.7,36.3,65.2,-6.0,2014,0.5625
1758,unc asheville,BSth,98.8,103.9,0.3616,48.6,49.5,20.6,20.7,33.0,33.2,38.1,33.2,48.5,49.4,32.6,33.1,69.5,-10.8,2013,0.4482758620689655
1760,george washington,A10,98.8,93.0,0.665,46.6,47.4,23.4,21.3,38.2,30.8,40.4,32.7,47.7,44.6,27.9,36.0,68.0,-7.3,2013,0.43333333333333335
1763,utah,P12,104.1,97.1,0.6894,48.7,46.9,20.0,16.9,27.5,31.8,31.1,30.6,46.6,44.8,35.5,33.9,62.2,-6.7,2013,0.41935483870967744
1764,clemson,ACC,99.2,93.7,0.6571,47.2,46.8,18.4,20.4,32.0,31.8,33.1,32.9,47.1,44.4,31.7,34.8,62.3,-7.7,2013,0.41935483870967744
1772,northwestern,B10,103.4,98.3,0.6392,47.5,48.2,17.3,19.0,25.9,36.0,33.9,37.8,44.7,46.5,34.1,34.6,61.5,-5.5,2013,0.40625
1773,west virginia,B12,103.5,99.3,0.6178,45.6,51.1,19.8,21.8,37.1,34.0,40.8,40.0,44.9,48.0,31.6,38.1,64.7,-7.0,2013,0.40625
1774,virginia tech,ACC,106.1,104.6,0.5404,47.5,50.1,17.5,15.5,30.7,33.2,36.8,38.1,47.7,48.8,31.4,34.8,67.4,-7.3,2013,0.40625
1775,st. bonaventure,A10,107.9,102.5,0.6442,51.6,51.6,20.0,21.5,32.3,34.2,39.9,41.3,49.0,49.4,37.5,37.0,66.5,-6.0,2013,0.4827586206896552
1776,loyola (il),Horz,101.2,101.9,0.4795,50.4,49.0,20.9,18.4,30.5,26.9,35.3,30.5,48.3,48.1,36.5,33.9,63.2,-10.5,2013,0.4666666666666667
1777,georgia state,CAA,103.6,104.6,0.4716,50.0,51.1,18.0,20.9,29.4,32.7,34.9,37.0,48.0,48.7,35.7,36.6,64.1,-10.9,2013,0.4666666666666667
1780,smu,CUSA,100.1,98.7,0.5396,47.9,47.4,22.9,21.4,34.8,32.6,40.7,39.5,46.9,44.3,34.6,34.4,64.1,-11.8,2013,0.45161290322580644
1783,uc-davis,BW,103.1,106.4,0.409,55.1,49.6,20.7,15.7,26.4,30.7,32.9,31.0,51.5,46.5,40.5,36.8,67.5,-12.0,2013,0.45161290322580644
1786,north dakota,BSky,94.9,103.2,0.274,47.1,49.1,18.8,19.8,29.4,32.9,36.5,33.7,45.7,48.4,33.2,33.8,67.8,-11.4,2013,0.45161290322580644
1787,hampton,MEAC,87.7,98.1,0.2158,43.1,43.8,24.3,22.3,34.1,32.6,38.6,42.5,44.6,42.9,26.3,30.6,70.2,-13.8,2013,0.45161290322580644
1788,oregon state,P12,109.0,100.0,0.7299,49.7,48.5,19.6,17.6,34.4,32.4,37.0,30.1,47.8,47.1,36.4,34.4,68.8,-7.3,2013,0.4375
1789,usc,P12,101.5,94.5,0.6939,47.2,46.9,19.5,17.6,29.2,29.5,30.0,37.6,45.7,44.7,34.2,34.5,67.1,-5.3,2013,0.4375
1790,manhattan,MAAC,93.7,92.4,0.5392,46.8,46.2,25.7,23.1,31.8,32.4,45.8,46.6,44.7,43.2,33.7,34.9,62.5,-10.9,2013,0.4375
1792,south carolina,SEC,100.1,103.1,0.4171,46.6,50.5,22.8,21.0,38.3,32.9,35.2,45.8,45.8,50.4,32.1,33.8,66.7,-10.1,2013,0.4375
1793,jacksonville state,OVC,100.8,104.9,0.3883,49.4,50.0,20.4,24.7,31.7,39.6,43.9,38.9,47.8,50.9,35.2,31.6,62.7,-6.5,2013,0.5769230769230769
1795,hawaii,BW,101.5,105.2,0.3983,50.2,49.0,20.7,17.4,35.3,29.5,36.0,32.7,50.1,45.6,33.7,36.6,69.6,-7.8,2013,0.5357142857142857
1803,georgia,SEC,100.9,94.4,0.6817,46.9,45.0,23.0,18.5,32.1,30.5,45.0,37.9,43.5,42.3,35.7,32.9,62.3,-6.3,2013,0.46875
1804,alabama-birmingham,CUSA,100.0,98.0,0.558,48.4,50.7,21.8,22.4,33.5,30.8,29.4,38.6,47.9,49.0,32.8,36.1,71.2,-8.2,2013,0.46875
1805,seton hall,BE,103.5,96.7,0.6845,51.3,46.7,23.8,19.4,31.0,32.8,34.5,39.1,48.6,44.6,36.7,34.0,65.1,-5.6,2013,0.45454545454545453
1806,nebraska,B10,101.4,96.1,0.6476,45.4,48.6,17.3,18.0,26.1,30.7,28.4,38.9,45.1,48.0,30.7,33.4,62.2,-3.4,2013,0.45454545454545453
1807,princeton,Ivy,107.9,100.1,0.7046,53.9,48.2,20.3,20.8,30.6,28.6,34.6,37.6,49.9,47.0,41.0,34.2,60.6,-5.0,2013,0.6153846153846154
1811,cal poly,BW,103.5,104.7,0.4665,48.7,52.9,15.7,19.6,31.2,28.2,33.3,38.6,44.8,52.2,37.1,36.3,59.8,-7.3,2013,0.5333333333333333
1816,tulsa,CUSA,97.9,99.7,0.4484,48.6,47.8,21.7,18.9,30.1,29.6,43.6,41.3,48.2,45.8,32.9,34.2,67.9,-7.9,2013,0.5
1817,vanderbilt,SEC,101.6,93.9,0.7136,48.4,46.0,19.5,18.5,27.9,29.5,35.1,33.5,45.3,45.7,35.0,31.1,61.0,-6.2,2013,0.48484848484848486
1818,texas,B12,101.3,94.0,0.7028,45.7,42.9,21.4,19.1,34.6,33.8,40.4,41.9,46.0,42.8,30.1,28.9,66.1,-4.2,2013,0.48484848484848486
1820,purdue,B10,106.2,94.2,0.7975,46.3,45.5,19.0,17.0,37.0,29.7,33.5,33.3,45.7,43.9,32.0,32.8,67.0,-3.8,2013,0.47058823529411764
1821,ucf,CUSA,105.5,101.5,0.6094,51.5,48.7,20.7,18.7,34.3,32.8,41.0,25.9,51.4,49.5,34.5,31.3,66.0,-4.2,2013,0.6071428571428571
1824,dayton,A10,111.8,99.4,0.7951,53.0,49.2,21.7,21.0,35.2,30.4,39.7,37.5,51.1,47.4,38.4,35.3,66.4,-4.6,2013,0.5483870967741935
1825,xavier,A10,105.1,94.3,0.7765,50.1,46.7,20.4,18.6,34.3,29.0,41.4,33.3,49.2,45.8,35.0,32.1,63.1,-4.0,2013,0.5483870967741935
1826,texas southern,SWAC,103.2,104.1,0.4745,51.9,45.3,17.9,17.5,31.4,33.0,31.2,29.8,50.7,44.5,35.6,31.7,64.3,-7.7,2013,0.5483870967741935
1832,st. john's (ny),BE,99.4,91.5,0.7205,44.5,45.6,16.7,20.2,30.5,35.1,28.9,28.9,45.6,43.6,27.1,33.1,67.6,-3.5,2013,0.5151515151515151
1833,green bay,Horz,101.5,98.8,0.5771,47.9,47.7,20.8,18.0,32.8,26.7,40.2,33.9,47.3,45.8,33.0,34.0,64.3,-7.9,2013,0.5151515151515151
1837,gardner-webb,BSth,95.8,99.0,0.4069,46.8,48.3,20.9,23.3,35.7,31.1,34.5,34.8,45.9,47.8,32.5,33.0,63.2,-7.2,2013,0.5806451612903226
1838,st. joseph's,A10,107.4,96.8,0.7681,50.6,46.1,18.7,16.2,31.7,33.2,36.2,23.8,50.0,45.6,34.2,31.4,63.0,-3.3,2013,0.5625
1840,wyoming,MWC,99.7,95.8,0.6121,49.5,48.2,18.7,21.4,23.7,31.4,39.8,33.0,50.8,48.2,31.8,32.3,61.1,-3.4,2013,0.5625
1842,mount st. mary's,NEC,100.9,104.6,0.3983,50.5,55.7,18.3,23.9,28.6,33.9,31.9,38.2,50.3,54.8,33.8,39.1,67.0,-7.7,2013,0.5625
1844,texas a&m,SEC,103.1,97.0,0.6682,48.8,47.5,21.0,21.9,34.9,33.5,32.9,35.7,47.1,46.0,35.6,33.5,61.2,-5.1,2013,0.5454545454545454
1845,lafayette,Pat,103.9,104.8,0.4767,52.7,52.3,18.7,20.6,25.1,32.6,28.2,31.5,49.6,51.2,38.4,36.4,65.9,-8.3,2013,0.5454545454545454
1846,washington,P12,106.5,96.2,0.7624,48.2,48.2,19.8,18.4,37.3,31.3,33.8,32.3,47.0,47.0,34.3,34.2,65.7,-3.0,2013,0.5294117647058824
1847,florida state,ACC,105.4,100.4,0.6341,49.9,49.7,22.0,20.6,30.9,36.6,40.4,34.8,48.9,47.1,34.8,36.8,66.0,-3.0,2013,0.5294117647058824
1848,bradley,MVC,102.8,101.9,0.5244,48.3,51.0,17.8,21.7,30.3,31.7,29.9,35.3,48.5,49.7,31.9,35.4,66.9,-7.5,2013,0.5142857142857142
1849,stanford,P12,109.1,94.1,0.8448,47.5,46.8,17.3,19.2,32.1,28.5,33.4,33.7,44.3,45.7,35.9,33.3,68.2,-2.2,2013,0.5588235294117647
1850,north carolina central,MEAC,96.3,96.4,0.4973,49.3,45.6,23.0,22.9,30.6,31.1,45.5,38.8,48.8,45.7,33.6,30.4,64.3,-5.2,2013,0.6785714285714286
1851,murray state,OVC,103.0,102.0,0.5285,52.4,48.1,20.5,20.2,32.5,31.8,39.0,33.5,52.2,47.0,35.1,33.5,66.3,-5.0,2013,0.6551724137931034
1853,lsu,SEC,105.4,97.4,0.7142,49.2,47.0,20.5,21.6,34.4,34.8,33.4,38.0,46.9,46.9,35.6,31.5,69.3,-2.5,2013,0.6129032258064516
1857,arkansas,SEC,105.3,95.1,0.7643,48.4,49.2,16.3,24.6,31.7,33.5,35.1,44.4,50.0,46.9,30.0,35.9,71.2,-2.4,2013,0.59375
1858,houston,CUSA,106.0,106.0,0.5013,51.3,48.7,18.3,17.9,33.4,31.4,39.4,33.7,50.3,49.2,35.9,31.8,70.4,-7.5,2013,0.59375
1861,delaware,CAA,102.4,102.5,0.4976,46.3,46.5,18.7,15.9,33.1,32.0,42.0,33.0,46.2,44.2,30.9,34.4,67.5,-6.1,2013,0.5757575757575758
1862,providence,BE,106.8,95.2,0.7905,45.9,46.2,19.1,19.8,37.4,32.3,37.4,33.0,45.7,46.9,31.0,29.7,66.1,-2.7,2013,0.5588235294117647
1867,uc-irvine,BW,98.8,97.9,0.5243,48.0,44.2,18.6,16.3,30.4,31.2,30.2,37.9,47.4,42.5,32.8,32.3,66.3,-8.2,2013,0.5428571428571428
1869,uconn,BE,108.7,93.9,0.8425,50.0,45.3,18.2,20.1,28.5,36.0,36.9,31.0,49.5,44.4,34.0,31.5,65.3,1.5,2013,0.6666666666666666
1872,utah state,WAC,106.5,102.8,0.6007,52.0,47.8,20.9,15.0,37.4,27.0,40.5,30.7,51.6,46.0,35.3,33.8,61.8,-4.2,2013,0.6666666666666666
1873,tennessee,SEC,108.3,96.7,0.7856,47.9,46.2,20.1,17.4,36.5,28.8,42.2,34.4,48.2,45.6,31.6,31.9,63.5,-0.9,2013,0.6060606060606061
1874,northeastern,CAA,103.4,105.9,0.4313,51.0,52.2,19.8,22.3,31.4,35.7,38.8,29.1,48.3,53.4,37.1,33.2,63.9,-6.8,2013,0.6060606060606061
1875,northern iowa,MVC,104.0,94.6,0.7476,51.1,48.8,19.0,19.7,24.6,26.5,33.2,25.1,48.6,47.7,36.4,34.1,62.9,-2.7,2013,0.5882352941176471
1877,kent state,MAC,106.6,102.1,0.6221,48.8,48.5,18.9,20.8,34.5,33.2,43.8,41.3,46.3,49.5,35.8,31.0,66.9,-6.8,2013,0.5882352941176471
1879,kentucky,SEC,109.7,96.7,0.81,52.6,43.9,19.4,17.6,34.7,31.2,41.7,30.2,52.9,42.0,34.6,32.4,67.5,-0.2,2013,0.6363636363636364
1880,umass,A10,106.7,97.4,0.7409,49.5,47.4,20.3,18.9,32.4,32.6,35.8,35.0,48.9,46.9,33.6,32.4,71.2,-1.0,2013,0.6363636363636364
1882,vermont,AE,101.8,99.2,0.5741,48.6,46.7,20.6,20.6,34.3,28.8,44.8,33.8,48.7,45.3,32.2,32.7,62.3,-6.0,2013,0.6363636363636364
1884,western michigan,MAC,99.8,99.8,0.4998,48.2,46.9,22.3,19.1,35.6,29.1,45.8,35.5,48.2,44.4,32.0,34.5,66.0,-6.1,2013,0.6176470588235294
1886,baylor,B12,112.4,95.3,0.8698,51.6,45.7,17.2,18.7,33.5,32.8,36.3,33.3,51.1,44.7,34.9,32.2,67.6,-2.5,2013,0.6111111111111112
1887,north dakota state,Sum,102.1,94.2,0.7167,52.8,44.4,18.1,18.1,30.0,25.1,28.4,35.4,52.3,42.3,35.8,32.4,60.8,-3.6,2013,0.6875
1888,mercer,ASun,102.3,98.6,0.6042,50.3,46.7,19.5,21.8,29.6,32.6,35.6,40.3,48.4,43.7,35.4,34.5,62.8,-5.6,2013,0.6470588235294118
1889,alabama,SEC,102.6,89.7,0.8243,47.9,45.7,19.9,22.6,32.0,32.9,33.9,32.7,47.1,45.2,33.0,31.3,61.7,-1.5,2013,0.6285714285714286
1890,arizona state,P12,107.5,96.3,0.7798,52.3,46.4,18.5,18.1,28.3,30.0,35.9,26.6,52.5,44.5,34.6,33.7,66.2,-1.7,2013,0.6285714285714286
1891,wright state,Horz,96.2,91.6,0.6391,49.5,46.8,20.3,24.3,26.4,29.1,33.0,43.5,48.4,47.3,34.6,30.5,63.2,-5.9,2013,0.6285714285714286
1893,virginia,ACC,107.4,90.3,0.8798,51.6,44.1,18.2,20.9,28.3,27.9,31.6,31.8,48.9,42.7,38.5,31.2,60.7,-1.5,2013,0.6571428571428571
1894,stephen f. austin,Slnd,98.0,88.7,0.7582,50.5,42.2,20.5,22.6,34.1,25.9,40.4,35.5,50.9,41.4,32.8,29.7,60.8,-0.5,2013,0.8214285714285714
1895,eastern kentucky,OVC,108.4,103.7,0.6242,54.0,51.2,17.9,25.5,27.9,38.0,34.8,43.7,55.4,53.3,35.0,31.5,65.1,-4.0,2013,0.696969696969697
1896,byu,WCC,109.1,95.8,0.8165,50.2,48.1,17.0,19.3,32.8,27.7,36.0,37.6,50.2,47.1,33.5,33.3,71.4,-2.5,2013,0.6571428571428571
1898,iowa,B10,109.1,90.5,0.8959,46.4,44.0,18.6,19.7,36.6,30.8,40.8,31.2,47.1,43.7,29.9,29.7,67.7,0.1,2013,0.6486486486486487
1899,stony brook,AE,104.3,93.2,0.7849,49.6,44.1,18.3,20.5,31.9,27.4,37.7,26.7,48.1,42.4,35.4,31.2,64.3,-2.0,2013,0.75
1901,college of charleston,SC,101.4,98.7,0.5768,50.2,45.0,20.6,15.5,33.3,27.2,38.5,26.9,49.4,45.0,34.5,30.0,64.4,-3.8,2013,0.7058823529411765
1902,robert morris,NEC,103.8,99.9,0.6071,51.0,50.6,19.2,24.6,31.0,32.5,37.0,46.0,46.7,51.1,38.1,33.2,64.8,-5.9,2013,0.6857142857142857
1904,maryland,ACC,106.1,92.7,0.8254,51.6,43.6,22.2,15.7,36.9,27.9,34.5,29.7,51.9,42.7,33.9,30.3,67.2,-1.3,2013,0.6578947368421053
1907,weber state,BSky,107.3,97.5,0.7501,56.0,44.4,18.7,16.6,29.6,25.3,39.6,33.6,53.7,44.7,40.6,28.9,65.2,-2.7,2013,0.8
1925,old dominion,CAA,97.7,106.6,0.269,44.9,52.3,20.7,20.4,38.8,33.1,34.6,39.2,46.6,48.8,27.3,39.1,66.8,-20.0,2013,0.16666666666666666
1928,austin peay,OVC,96.7,110.2,0.183,51.7,52.0,23.2,18.1,28.9,35.3,37.4,29.3,48.8,51.8,38.1,34.9,69.2,-18.5,2013,0.20689655172413793
1932,milwaukee,Horz,93.7,106.5,0.1871,44.6,50.5,21.5,17.6,29.0,35.0,36.1,30.2,43.5,51.1,30.8,32.7,65.9,-17.4,2013,0.2
1938,unc greensboro,SC,96.1,106.4,0.2357,47.0,50.2,17.8,19.2,29.2,28.1,33.7,51.9,45.0,48.2,33.8,36.2,71.8,-18.0,2013,0.2413793103448276
1940,umbc,AE,94.8,107.4,0.1909,46.6,51.2,21.3,20.2,28.7,32.9,30.1,44.0,44.2,53.8,33.9,30.9,67.7,-17.6,2013,0.23333333333333334
1944,fairleigh dickinson,NEC,92.1,112.8,0.0887,48.9,52.6,22.5,17.5,26.2,38.5,35.2,35.7,47.2,51.7,35.0,36.3,68.7,-18.6,2013,0.22580645161290322
1949,rhode island,A10,99.9,99.4,0.5163,46.0,48.7,18.8,19.6,28.4,35.5,35.9,40.0,44.6,47.5,32.2,34.2,63.2,-11.6,2013,0.27586206896551724
1953,fresno state,MWC,98.1,92.6,0.6606,43.5,45.4,18.5,20.2,29.2,34.9,37.3,47.1,39.9,46.7,33.7,28.1,62.2,-8.8,2013,0.32142857142857145
1955,unc wilmington,CAA,95.9,106.6,0.2288,46.6,50.2,21.4,17.5,31.5,32.8,36.7,38.0,45.1,50.3,33.5,33.3,66.7,-14.5,2013,0.3103448275862069
1963,penn,Ivy,93.3,100.2,0.3071,47.7,47.8,23.5,21.4,26.8,32.9,34.4,44.9,46.1,45.8,34.3,34.4,68.4,-15.1,2013,0.2903225806451613
1964,etsu,ASun,92.6,109.4,0.1276,45.7,54.1,20.0,21.1,27.1,35.5,31.6,33.5,44.2,52.8,32.3,37.2,65.2,-15.5,2013,0.2903225806451613
1966,auburn,SEC,97.0,99.4,0.4298,46.0,49.7,19.7,19.8,29.2,29.9,35.3,43.0,45.7,48.3,31.1,34.5,67.1,-13.4,2013,0.28125
1969,cal state bakersfield,ind,95.6,103.1,0.295,46.8,51.5,20.7,21.9,30.1,30.2,35.4,52.4,44.7,51.3,33.7,34.6,66.5,-10.4,2013,0.38461538461538464
1974,radford,BSth,90.2,101.7,0.2009,44.2,49.0,19.5,21.6,32.2,31.9,35.8,39.9,42.9,47.0,31.2,36.6,67.6,-15.6,2013,0.3448275862068966
1977,american,Pat,95.7,106.4,0.2266,47.3,51.3,20.2,15.6,28.5,27.0,30.9,27.9,43.8,45.7,36.2,41.1,59.9,-13.4,2013,0.3333333333333333
1980,tcu,B12,92.7,99.9,0.2964,43.3,49.7,21.9,20.1,32.0,32.8,40.6,34.1,42.3,49.0,30.8,34.2,61.1,-11.2,2013,0.3225806451612903
1981,eastern washington,BSky,96.4,107.8,0.2174,48.8,48.1,19.3,15.8,29.4,35.3,32.0,36.2,47.0,46.2,34.1,35.1,68.5,-16.7,2013,0.3225806451612903
1985,mississippi state,SEC,89.8,98.0,0.2682,44.6,49.9,24.8,22.3,30.5,36.1,40.8,25.8,45.5,50.0,28.4,33.2,68.1,-11.6,2013,0.3125
1987,coastal carolina,BSth,96.0,101.8,0.3356,47.0,49.6,21.7,22.0,37.0,30.6,35.8,39.1,46.8,47.7,31.6,34.8,65.1,-11.6,2013,0.4230769230769231
1988,northern kentucky,ASun,95.9,103.3,0.2997,48.1,49.8,18.9,21.0,25.2,31.7,28.4,35.7,46.8,49.5,33.1,33.5,59.6,-12.0,2013,0.4074074074074074
1990,winthrop,BSth,94.3,103.9,0.2475,46.6,47.1,21.4,18.2,29.3,30.6,36.1,36.7,46.4,46.1,31.3,32.6,61.1,-12.5,2013,0.39285714285714285
1998,lipscomb,ASun,96.2,107.7,0.2142,46.7,51.8,23.2,18.6,35.7,32.0,44.6,44.9,46.5,52.6,31.5,33.8,70.7,-12.4,2013,0.3793103448275862
2001,nevada,MWC,103.1,104.3,0.4671,47.3,51.8,18.7,18.7,28.9,32.0,41.8,40.2,47.8,49.5,30.9,37.4,67.0,-9.2,2013,0.36666666666666664
2005,chattanooga,SC,96.5,110.9,0.1682,46.0,53.5,20.0,18.5,33.9,27.8,43.0,32.6,45.9,51.4,30.8,37.6,67.7,-14.8,2013,0.36666666666666664
2006,texas tech,B12,99.3,104.0,0.3703,46.5,52.8,21.5,21.3,32.1,34.3,38.1,41.1,47.9,51.1,28.8,37.5,68.2,-9.4,2013,0.3548387096774194
2009,colgate,Pat,95.8,104.5,0.2684,48.0,49.1,19.8,15.2,26.2,27.0,27.6,33.0,46.1,46.9,34.2,35.5,67.2,-14.0,2013,0.34375
2016,yale,Ivy,101.5,103.6,0.4413,46.5,52.0,22.2,20.4,35.0,29.8,42.9,40.3,45.0,49.2,33.2,38.3,64.6,-10.2,2013,0.41379310344827586
2019,cal state fullerton,BW,104.2,108.8,0.3797,53.6,54.1,18.1,22.8,25.0,37.2,35.5,36.6,51.8,54.8,37.7,35.1,69.9,-13.3,2013,0.4
2024,marshall,CUSA,100.2,104.4,0.3831,48.1,49.8,22.9,19.2,37.6,36.1,45.0,38.4,49.1,47.3,30.9,37.1,68.1,-11.4,2013,0.3870967741935484
2025,holy cross,Pat,97.4,103.5,0.3345,47.7,47.7,20.1,15.5,28.3,30.1,29.6,31.2,45.3,47.7,34.5,31.7,63.1,-13.3,2013,0.3870967741935484
2028,wofford,SC,86.5,94.9,0.2543,44.2,47.6,20.3,22.2,25.9,27.0,27.9,38.3,43.2,48.4,30.7,30.6,63.9,-13.2,2013,0.3870967741935484
2031,buffalo,MAC,102.5,103.4,0.4761,50.4,47.2,23.7,17.1,35.1,32.5,38.5,36.8,50.0,46.1,34.2,33.2,65.4,-13.6,2013,0.375
2032,louisiana,SB,98.4,105.3,0.3135,48.6,48.8,19.6,20.8,29.1,35.2,35.1,43.3,46.9,47.2,34.5,34.9,70.2,-13.9,2013,0.375
2034,troy,SB,97.3,107.5,0.2416,45.3,51.0,16.5,19.1,30.7,33.0,24.5,36.6,44.5,49.5,31.2,35.8,61.1,-16.6,2013,0.36363636363636365
2035,dayton,A10,107.0,94.5,0.8059,52.9,47.3,17.9,21.1,23.3,28.4,48.1,30.6,52.6,46.5,35.6,32.5,63.8,0.8,2015,0.75
2036,st. joseph's,A10,114.2,97.6,0.86,51.2,48.1,14.3,16.1,28.3,25.8,37.4,25.0,52.3,49.2,32.7,31.1,70.9,3.4,2016,0.7777777777777778
2037,vcu,A10,112.1,94.2,0.8811,51.0,49.2,16.3,21.4,33.2,27.7,32.2,36.8,50.1,48.6,35.2,33.7,70.3,-0.1,2016,0.6944444444444444
