YEAR,SEED,TEAM,ROUND,KENPOM ADJUSTED EFFICIENCY,KENPOM ADJUSTED OFFENSE,KENPOM ADJUSTED DEFENSE,KENPOM ADJUSTED TEMPO,BARTTORVIK ADJUSTED EFFICIENCY,BARTTORVIK ADJUSTED OFFENSE,BARTTORVIK ADJUSTED DEFENSE,BARTHAG,ELITE SOS,BARTTORVIK ADJUSTED TEMPO,2PT %,3PT %,FREE THROW %,EFG %,FREE THROW RATE,3PT RATE,ASSIST %,OFFENSIVE REBOUND %,DEFENSIVE REBOUND %,BLOCK %,TURNOVER %,2PT % DEFENSE,3PT % DEFENSE,FREE THROW % DEFENSE,EFG % DEFENSE,FREE THROW RATE DEFENSE,3PT RATE DEFENSE,OP ASSIST %,OP O REB %,OP D REB %,BLOCKED %,TURNOVER % DEFENSE,WINS ABOVE BUBBLE,WIN %,POINTS PER POSSESSION OFFENSE,POINTS PER POSSESSION DEFENSE,TEAM.1
2019,7,louisville,64,21.0,113.4,92.4,67.1,20.2,112.9,92.7,0.906,35.48,68.6,50.6,34.2,77.5,50.9,35.1,43.7,53.4,29.2,74.2,7.8,17.8,45.7,31.7,77.5,46.4,31.6,36.9,48.4,25.8,70.8,10.6,16.3,2.3,60.61,1.071,0.974,Louisville
2019,7,nevada,64,18.9,114.0,95.1,69.2,17.4,112.9,95.5,0.873,15.43,70.8,55.1,35.1,70.8,54.1,40.7,42.8,54.0,26.5,75.3,11.1,14.4,46.0,33.4,70.8,47.6,27.6,40.0,52.0,24.7,73.5,7.2,19.2,4.1,87.88,1.137,0.94,Nevada
2019,8,ole miss,64,15.1,112.8,97.7,68.3,16.5,113.1,96.6,0.86,28.95,69.7,52.6,35.8,78.3,53.0,31.7,39.5,54.2,30.4,70.5,9.8,18.2,47.8,37.2,78.3,50.6,33.2,34.9,55.6,29.5,69.6,9.9,21.0,1.0,62.5,1.085,1.013,Mississippi
2019,8,syracuse,64,16.3,110.2,93.9,66.1,16.0,109.4,93.4,0.86,30.43,67.4,49.5,33.0,68.1,49.5,36.8,42.8,50.3,30.1,66.7,16.7,18.4,46.5,32.3,68.1,47.5,34.8,47.6,67.7,33.3,69.9,9.7,23.2,0.5,60.61,1.032,0.972,Syracuse
2019,8,utah state,64,16.6,113.0,96.3,67.8,15.3,111.2,95.9,0.846,16.72,69.5,54.7,35.7,74.8,54.3,36.7,38.0,61.8,31.7,77.8,12.3,17.9,42.1,34.8,74.8,46.2,34.1,40.1,50.5,22.2,68.3,9.1,17.2,2.2,81.82,1.123,0.953,Utah St.
2019,8,vcu,64,15.7,104.3,88.6,68.2,17.1,104.0,86.9,0.888,17.53,69.6,53.7,30.7,69.8,50.6,36.0,41.1,55.4,31.0,69.4,12.3,20.1,43.8,27.6,69.8,43.0,37.2,33.4,51.0,30.6,69.0,7.6,23.5,1.4,78.13,1.026,0.885,VCU
2019,9,baylor,32,15.3,113.5,98.2,65.3,13.9,112.0,98.1,0.821,32.48,66.7,50.9,34.0,67.4,50.9,32.6,40.4,54.3,38.1,71.2,13.9,19.9,47.1,34.1,67.4,48.6,36.5,37.8,55.3,28.8,61.9,12.2,18.5,0.9,59.38,1.071,1.004,Baylor
2019,9,oklahoma,32,15.5,109.4,93.9,68.7,16.1,108.9,92.8,0.863,35.5,70.5,49.6,34.2,64.9,50.2,31.4,33.2,48.9,26.2,72.1,8.5,17.4,45.0,33.3,64.9,47.1,24.1,41.0,50.0,27.9,73.8,9.4,17.5,2.5,59.38,1.045,0.93,Oklahoma
2019,9,ucf,32,14.6,110.3,95.7,64.8,17.2,111.1,93.9,0.874,22.71,66.3,52.5,35.4,64.5,52.7,46.4,36.1,53.7,29.6,70.5,12.4,17.5,44.6,31.3,64.5,45.5,29.6,38.3,54.3,29.5,70.4,8.1,18.3,2.2,74.19,1.071,0.955,UCF
2019,9,washington,32,13.4,107.0,93.6,65.9,12.6,106.0,93.4,0.811,23.31,67.4,52.3,34.6,69.4,52.1,35.1,39.8,47.5,29.6,65.6,16.2,19.8,46.0,33.1,69.4,47.3,34.5,35.3,58.5,34.4,70.4,7.6,24.0,3.3,76.47,1.036,0.955,Washington
2019,10,florida,32,18.3,110.2,91.9,62.7,18.4,109.8,91.4,0.892,34.59,64.3,49.8,33.5,71.8,49.9,30.4,43.4,51.1,31.1,68.3,11.3,18.0,48.6,32.0,71.8,48.4,33.6,38.0,48.8,31.7,68.9,8.9,22.6,0.6,55.88,1.042,0.971,Florida
2019,10,iowa,32,16.0,117.2,101.2,69.4,15.9,116.4,100.5,0.844,31.99,70.9,51.5,36.1,71.5,52.6,42.3,39.0,60.1,29.9,71.0,9.3,17.2,53.4,32.6,71.5,51.6,28.8,41.4,59.0,29.0,70.1,7.8,18.5,3.2,66.67,1.12,1.015,Iowa
2019,10,minnesota,32,14.5,110.7,96.2,67.5,12.9,109.5,96.6,0.809,34.82,69.0,48.4,32.1,67.9,48.3,42.0,28.8,60.2,31.9,71.9,10.3,17.6,48.3,33.9,67.9,49.1,28.3,33.7,50.2,28.1,68.1,11.2,16.6,2.7,61.76,1.038,1.014,Minnesota
2019,10,seton hall,64,12.9,109.3,96.4,68.9,10.8,107.8,97.0,0.771,26.68,70.3,50.8,32.4,70.8,49.9,34.8,36.4,51.8,29.3,70.6,11.2,17.5,48.7,33.6,70.8,49.3,32.6,39.8,53.5,29.4,70.7,11.7,20.0,-0.3,60.61,1.043,1.008,Seton Hall
2019,11,ohio state,32,15.1,109.3,94.2,65.7,14.2,108.3,94.1,0.834,33.73,67.2,49.9,34.3,73.4,50.5,34.0,39.7,59.0,27.7,73.9,7.3,18.7,47.4,33.0,73.4,48.2,31.8,37.4,50.8,26.1,72.3,9.4,18.4,0.9,57.58,1.037,0.986,Ohio St.
2019,11,arizona state,64,11.2,109.8,98.6,70.5,11.0,108.9,97.9,0.773,21.24,71.8,50.6,34.1,67.1,50.8,43.6,35.7,51.1,32.5,73.6,9.7,18.5,47.2,33.6,67.1,48.6,38.6,43.5,54.8,26.4,67.5,9.1,18.9,0.2,68.75,1.062,0.997,Arizona St.
2019,11,belmont,64,13.1,114.8,101.8,71.1,12.1,113.4,101.3,0.785,14.18,72.5,59.5,37.1,73.6,57.8,28.1,43.8,61.9,25.6,75.7,9.1,15.4,47.2,34.7,73.6,48.9,27.7,34.7,44.5,24.3,74.4,10.3,16.3,1.4,83.33,1.16,0.997,Belmont
2019,11,saint mary's,64,17.7,114.6,96.9,62.6,16.9,114.2,97.3,0.863,22.54,64.1,52.5,37.8,74.5,54.0,29.7,35.0,37.9,31.3,76.8,6.9,16.3,49.1,31.8,74.5,48.6,29.4,31.4,43.0,23.2,68.7,9.2,16.4,-0.6,66.67,1.127,0.995,Saint Mary's
2019,11,st. john's (ny),68,8.8,109.7,100.9,70.5,9.3,109.1,99.8,0.736,22.9,72.1,51.2,36.2,72.5,52.3,29.4,38.3,50.1,21.4,70.3,10.0,14.1,50.5,34.1,72.5,50.8,39.0,42.6,53.9,29.7,78.6,6.4,21.0,-1.1,63.64,1.06,1.022,St. John's
2019,11,temple,68,9.4,108.9,99.5,68.8,11.6,109.2,97.6,0.784,23.84,70.1,50.4,33.1,73.1,50.1,33.0,37.7,54.8,26.6,70.4,6.3,15.7,51.1,32.7,73.1,50.3,33.7,38.2,49.9,29.6,73.4,6.7,20.8,2.0,71.88,1.051,0.999,Temple
2019,12,oregon,16,15.2,107.7,92.5,64.1,13.5,106.4,92.9,0.826,21.27,65.5,51.9,34.3,71.9,51.7,30.3,39.3,52.6,29.7,71.9,14.5,17.8,49.0,29.4,71.9,46.8,35.3,45.2,55.6,28.1,70.3,8.1,21.0,-1.0,65.71,1.061,0.948,Oregon
2019,12,liberty,32,10.8,110.6,99.7,61.8,9.0,108.7,99.7,0.73,11.3,63.2,56.9,36.6,77.9,56.1,26.0,42.0,53.5,25.7,73.5,7.5,17.2,48.4,32.9,77.9,48.7,32.4,37.1,46.0,26.5,74.3,8.8,20.8,-0.4,80.65,1.111,0.958,Liberty
2019,12,murray state,32,13.3,112.0,98.7,69.0,12.0,110.5,98.5,0.79,12.08,70.1,57.2,34.4,74.1,55.2,33.2,36.9,58.4,32.4,70.0,11.3,17.2,48.4,28.5,74.1,46.4,28.4,35.4,45.4,30.0,67.6,9.2,19.5,1.3,86.21,1.147,0.961,Murray St.
2019,12,new mexico state,64,13.6,112.6,99.0,65.6,12.8,111.6,98.8,0.802,10.96,66.9,56.4,34.2,67.3,54.0,34.1,46.2,52.7,37.0,77.3,7.7,17.7,47.9,33.3,67.3,48.7,32.4,38.9,38.2,22.7,63.0,5.8,19.3,1.6,87.5,1.142,0.954,New Mexico St.
2019,13,uc-irvine,32,9.5,106.6,97.1,65.1,8.5,105.5,97.0,0.724,10.84,66.6,50.3,36.0,70.0,51.4,28.6,32.0,48.8,33.6,73.6,10.9,17.1,40.7,33.3,70.0,43.7,33.8,32.7,42.9,26.4,66.4,6.8,16.7,0.9,85.29,1.081,0.949,UC Irvine
2019,13,northeastern,64,8.7,111.5,102.7,66.0,7.2,110.0,102.8,0.685,14.55,67.5,56.4,38.8,75.1,57.2,34.3,46.3,54.7,22.7,75.7,5.9,16.7,52.5,33.6,75.1,51.8,28.0,35.9,45.7,24.3,77.3,7.2,16.7,-2.6,69.7,1.128,1.042,Northeastern
2019,13,saint louis,64,6.3,102.6,96.3,66.1,5.7,101.1,95.4,0.661,17.33,67.5,47.1,30.8,59.8,46.8,39.7,32.6,54.3,36.1,74.7,12.1,19.0,46.9,31.3,59.8,46.9,32.9,38.0,54.9,25.3,63.9,10.2,19.4,-3.0,65.71,1.002,0.953,Saint Louis
2019,13,vermont,64,8.7,107.9,99.2,65.3,9.1,107.2,98.1,0.735,10.84,66.6,52.0,35.3,75.3,52.4,36.3,40.4,46.3,27.5,78.2,11.9,16.6,46.5,35.3,75.3,49.0,26.2,38.2,47.2,21.8,72.5,8.6,19.4,-0.8,81.25,1.094,0.949,Vermont
2019,14,georgia state,64,5.6,107.9,102.3,69.9,6.3,107.6,101.3,0.667,15.85,71.2,51.8,38.4,65.6,54.4,35.7,43.7,46.0,23.3,66.4,14.4,16.6,50.5,33.0,65.6,50.1,31.3,45.7,58.5,33.6,76.7,9.8,21.1,-1.1,71.88,1.066,1.028,Georgia St.
2019,14,northern kentucky,64,6.6,109.2,102.7,67.9,6.8,108.4,101.6,0.678,11.95,69.4,55.3,36.4,67.0,55.0,35.5,41.5,62.1,30.7,73.5,11.1,17.6,49.5,31.9,67.0,48.9,35.2,39.2,51.2,26.5,69.3,11.3,18.5,-2.0,75.0,1.114,1.003,Northern Kentucky
2019,14,old dominion,64,5.6,101.9,96.4,64.3,4.9,100.4,95.5,0.64,11.54,65.8,44.6,35.3,66.0,47.7,29.5,37.3,54.0,32.3,75.2,14.1,17.9,43.4,32.5,66.0,45.6,32.4,40.1,52.8,24.8,67.7,6.8,18.6,-1.6,76.47,1.012,0.929,Old Dominion
2019,14,yale,64,8.6,111.7,103.1,70.7,8.1,110.1,102.0,0.707,14.89,72.1,56.1,37.4,73.3,56.1,30.5,34.6,56.8,26.3,75.6,11.1,18.1,47.5,31.2,73.3,47.2,30.6,38.2,48.8,24.4,73.7,7.5,15.2,-0.7,75.0,1.099,1.002,Yale
2019,15,abilene christian,64,2.1,103.6,101.5,66.0,1.2,102.2,101.0,0.534,7.99,67.1,49.8,38.3,72.3,52.4,34.5,34.2,57.6,27.7,72.2,7.5,17.4,49.2,33.5,72.3,49.6,38.4,33.4,48.9,27.8,72.3,8.2,23.4,-2.5,79.31,1.068,0.967,Abilene Christian
2019,15,bradley,64,-0.4,100.9,101.3,65.1,-1.1,100.0,101.1,0.469,11.71,66.4,46.7,36.8,69.2,49.7,36.3,35.2,52.2,27.1,73.3,11.5,18.9,46.4,33.0,69.2,47.6,35.3,39.6,53.6,26.7,72.9,7.2,18.6,-7.6,57.58,1.004,0.986,Bradley
2019,15,colgate,64,4.3,110.0,105.8,66.3,2.9,108.4,105.5,0.577,11.3,67.9,53.9,39.1,74.3,55.9,28.9,41.0,57.9,30.3,73.1,9.9,19.3,50.4,33.9,74.3,50.6,28.6,40.9,52.1,26.9,69.7,9.5,18.0,-4.1,69.7,1.107,1.027,Colgate
2019,15,montana,64,3.5,107.4,103.8,66.5,3.5,106.7,103.2,0.595,9.66,67.8,56.2,38.3,69.6,56.7,32.0,38.3,52.1,27.7,75.0,7.9,17.4,49.0,34.6,69.6,50.0,37.0,36.2,44.7,25.0,72.3,8.5,19.3,-3.0,75.0,1.117,1.01,Montana
2019,16,fairleigh dickinson,64,-4.2,106.2,110.4,66.8,-5.5,104.8,110.3,0.357,7.49,68.1,51.2,40.4,74.3,54.5,35.5,35.0,53.2,29.4,66.9,10.2,19.4,51.6,34.3,74.3,51.5,30.2,38.5,51.5,33.1,70.6,9.2,20.4,-9.2,58.06,1.083,1.051,Fairleigh Dickinson
2019,16,gardner-webb,64,-0.7,107.5,108.2,67.1,-1.7,105.5,107.2,0.454,13.19,68.5,53.8,37.7,71.6,54.8,39.2,37.3,51.8,22.6,69.0,7.4,16.8,49.9,33.8,71.6,50.2,27.7,45.0,54.3,31.0,77.4,8.8,18.1,-4.9,64.52,1.083,1.049,Gardner Webb
2019,16,iona,64,-3.1,106.5,109.6,70.5,-4.9,105.2,110.1,0.372,9.37,72.0,53.3,35.1,74.1,53.0,37.1,43.6,50.4,25.7,69.9,8.0,17.3,50.2,36.8,74.1,52.3,28.8,42.9,55.8,30.1,74.3,11.4,18.6,-10.2,53.13,1.077,1.06,Iona
2019,16,north dakota state,64,-3.2,106.6,109.8,64.8,-2.9,105.8,108.7,0.423,14.6,66.5,52.4,36.8,76.5,53.8,32.1,48.2,46.1,20.7,74.6,6.6,15.8,52.9,36.6,76.5,53.6,26.2,35.7,45.0,25.4,79.3,9.7,14.6,-8.4,51.61,1.079,1.1,North Dakota St.
2019,16,north carolina central,68,-11.9,96.6,108.5,65.2,-10.3,97.2,107.5,0.239,9.39,66.4,51.7,31.1,70.4,49.8,33.4,36.6,59.5,34.6,73.0,6.9,23.0,50.9,31.6,70.4,49.7,30.9,34.0,52.5,27.0,65.4,10.9,17.7,-10.8,50.0,1.004,1.006,North Carolina Central
2019,16,prairie view a&m,68,-4.3,101.5,105.8,71.0,-4.1,101.0,105.1,0.388,9.73,72.2,49.6,31.5,68.1,48.8,44.2,33.5,48.2,29.8,66.0,4.6,17.4,53.5,30.8,68.1,50.9,46.6,35.9,52.1,34.0,70.2,11.0,24.7,-6.9,63.64,1.031,1.002,Prairie View A&M
2018,1,villanova,1,31.4,127.4,96.0,68.3,32.3,127.5,95.2,0.966,32.51,69.5,59.7,39.8,77.1,59.7,28.6,46.6,53.7,28.8,73.3,10.2,14.6,49.3,32.8,75.3,49.2,25.5,35.5,53.5,26.7,71.2,8.1,18.5,10.6,88.24,1.227,0.999,Villanova
2018,1,kansas,4,23.2,120.9,97.7,68.4,26.0,121.6,95.6,0.941,34.25,69.9,56.5,40.3,70.1,58.1,26.2,41.6,56.4,29.1,68.3,11.0,16.6,48.1,32.7,72.0,48.5,24.8,38.4,48.6,31.7,70.9,10.1,18.5,8.2,79.41,1.162,1.011,Kansas
2018,1,xavier,32,21.7,120.7,99.0,70.4,23.5,121.1,97.6,0.923,39.19,71.7,55.9,36.9,79.0,55.7,40.2,36.0,57.6,30.0,77.1,8.0,17.0,50.0,33.4,75.0,50.0,24.8,41.2,52.9,22.9,70.0,9.7,15.7,8.8,84.85,1.155,1.021,Xavier
2018,1,virginia,64,32.2,116.5,84.4,59.2,30.2,115.0,84.8,0.971,30.58,60.4,50.0,39.0,75.8,52.9,24.8,34.8,54.9,27.4,74.3,12.5,14.1,42.4,30.3,73.2,43.7,26.2,40.5,47.0,25.7,72.6,7.5,21.0,11.3,93.94,1.112,0.879,Virginia
